scenario,round,client_id,class,precision,recall,f1
Non-IID,13,15,3,1.0,0.2,0.33333333333333337
Non-IID,13,15,4,0.9,0.9,0.9
Non-IID,13,15,5,0.4,0.8,0.5333333333333333
Non-IID,13,15,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,13,15,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,13,15,8,1.0,0.1,0.18181818181818182
Non-IID,13,15,9,0.7272727272727273,0.8,0.761904761904762
Non-IID,13,7,0,0.7142857142857143,1.0,0.8333333333333333
Non-IID,13,7,1,1.0,1.0,1.0
Non-IID,13,7,2,0.8888888888888888,0.8,0.8421052631578948
Non-IID,13,7,3,1.0,0.2,0.33333333333333337
Non-IID,13,7,4,0.9,0.9,0.9
Non-IID,13,7,5,0.4,0.8,0.5333333333333333
Non-IID,13,7,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,13,7,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,13,7,8,1.0,0.1,0.18181818181818182
Non-IID,13,7,9,0.7272727272727273,0.8,0.761904761904762
Non-IID,14,13,0,1.0,1.0,1.0
Non-IID,14,13,1,1.0,1.0,1.0
Non-IID,14,13,2,0.9,0.9,0.9
Non-IID,14,13,3,1.0,0.9,0.9473684210526316
Non-IID,14,13,4,0.9,0.9,0.9
Non-IID,14,13,5,1.0,0.9,0.9473684210526316
Non-IID,14,13,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,14,13,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,14,13,8,1.0,1.0,1.0
Non-IID,14,13,9,1.0,0.8,0.888888888888889
Non-IID,14,2,0,1.0,1.0,1.0
Non-IID,14,2,1,1.0,1.0,1.0
Non-IID,14,2,2,0.9,0.9,0.9
Non-IID,14,2,3,1.0,0.9,0.9473684210526316
Non-IID,14,2,4,0.9,0.9,0.9
Non-IID,14,2,5,1.0,0.9,0.9473684210526316
Non-IID,14,2,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,14,2,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,14,2,8,1.0,1.0,1.0
Non-IID,14,2,9,1.0,0.8,0.888888888888889
Non-IID,15,7,0,1.0,1.0,1.0
Non-IID,15,7,1,0.7692307692307693,1.0,0.8695652173913044
Non-IID,15,7,2,0.8181818181818182,0.9,0.8571428571428572
Non-IID,15,7,3,0.9,0.9,0.9
